date,year,quarter_of_year,month_number,month_name,day_of_month,day_of_week_number,day_of_week_name,week_of_year,is_weekday
2018-09-11,2018,3,9,September,11,1,Tuesday,37,True
2018-09-12,2018,3,9,September,12,2,Wednesday,37,True
2018-09-13,2018,3,9,September,13,3,Thursday,37,True
2018-09-14,2018,3,9,September,14,4,Friday,37,True
2018-09-15,2018,3,9,September,15,5,Saturday,37,False
2018-09-16,2018,3,9,September,16,6,Sunday,37,False
2018-09-17,2018,3,9,September,17,0,Monday,38,True
2018-09-18,2018,3,9,September,18,1,Tuesday,38,True
2018-09-19,2018,3,9,September,19,2,Wednesday,38,True
2018-09-20,2018,3,9,September,20,3,Thursday,38,True
2018-09-21,2018,3,9,September,21,4,Friday,38,True
2018-09-22,2018,3,9,September,22,5,Saturday,38,False
2018-09-23,2018,3,9,September,23,6,Sunday,38,False
2018-09-24,2018,3,9,September,24,0,Monday,39,True
2018-09-25,2018,3,9,September,25,1,Tuesday,39,True
2018-09-26,2018,3,9,September,26,2,Wednesday,39,True
2018-09-27,2018,3,9,September,27,3,Thursday,39,True
2018-09-28,2018,3,9,September,28,4,Friday,39,True
2018-09-29,2018,3,9,September,29,5,Saturday,39,False
2018-09-30,2018,3,9,September,30,6,Sunday,39,False
2018-10-01,2018,4,10,October,1,0,Monday,40,True
2018-10-02,2018,4,10,October,2,1,Tuesday,40,True
2018-10-03,2018,4,10,October,3,2,Wednesday,40,True
2018-10-04,2018,4,10,October,4,3,Thursday,40,True
2018-10-05,2018,4,10,October,5,4,Friday,40,True
2018-10-06,2018,4,10,October,6,5,Saturday,40,False
2018-10-07,2018,4,10,October,7,6,Sunday,40,False
2018-10-08,2018,4,10,October,8,0,Monday,41,True
2018-10-09,2018,4,10,October,9,1,Tuesday,41,True
2018-10-10,2018,4,10,October,10,2,Wednesday,41,True
2018-10-11,2018,4,10,October,11,3,Thursday,41,True
2018-10-12,2018,4,10,October,12,4,Friday,41,True
2018-10-13,2018,4,10,October,13,5,Saturday,41,False
2018-10-14,2018,4,10,October,14,6,Sunday,41,False
2018-10-15,2018,4,10,October,15,0,Monday,42,True
2018-10-16,2018,4,10,October,16,1,Tuesday,42,True
2018-10-17,2018,4,10,October,17,2,Wednesday,42,True
2018-10-18,2018,4,10,October,18,3,Thursday,42,True
2018-10-19,2018,4,10,October,19,4,Friday,42,True
